pokemon,habilidades
Delibird,"Vital Spirit,Hustle,Insomnia","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Octillery,"Suction Cups,Sniper,Moody","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves when it evolves in Pokémon Brilliant Diamond & Shining Pearl (regardless of level)., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Remoraid,"Hustle,Sniper,Moody","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Corsola,"Hustle,Natural Cure,Regenerator,Weak Armor,Cursed Body","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Piloswine,"Oblivious,Snow Cloak,Thick Fat","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Swinub,"Oblivious,Snow Cloak,Thick Fat","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Magcargo,"Magma Armor,Flame Body,Weak Armor","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves when it evolves in Pokémon Brilliant Diamond & Shining Pearl (regardless of level)., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Slugma,"Magma Armor,Flame Body,Weak Armor","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Ursaring,"Guts,Quick Feet,Unnerve","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Teddiursa,"Pickup,Quick Feet,Honey Gather","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Sneasel,"Inner Focus,Keen Eye,Pickpocket,Inner Focus,Keen Eye,Pickpocket","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Heracross,"Swarm,Guts,Moxie,Skill Link","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Shuckle,"Sturdy,Gluttony,Contrary","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Scizor,"Swarm,Technician,Light Metal,Technician","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Qwilfish,"Poison Point,Swift Swim,Intimidate,Poison Point,Swift Swim,Intimidate","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Granbull,"Intimidate,Quick Feet,Rattled","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Snubbull,"Intimidate,Run Away,Rattled","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Steelix,"Rock Head,Sturdy,Sheer Force,Sand Force","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Gligar,"Hyper Cutter,Sand Veil,Immunity","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Dunsparce,"Serene Grace,Run Away,Rattled","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Forretress,"Sturdy,Overcoat","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves when it evolves in Pokémon Brilliant Diamond & Shining Pearl (regardless of level)., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Pineco,"Sturdy,Overcoat","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Girafarig,"Inner Focus,Early Bird,Sap Sipper","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Wobbuffet,"Shadow Tag,Telepathy","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves when it evolves in Pokémon Brilliant Diamond & Shining Pearl (regardless of level)., does not learn any moves by breeding in Pokémon Brilliant Diamond & Shining Pearl., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., does not learn any moves by breeding in Pokémon Sword & Shield."
Unown,Levitate,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., does not learn any moves by breeding in Pokémon Brilliant Diamond & Shining Pearl., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Misdreavus,Levitate,"The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Slowking,"Oblivious,Own Tempo,Regenerator,Curious Medicine,Own Tempo,Regenerator","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following extra moves when using the , feature in Pokémon Scarlet & Violet., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Murkrow,"Insomnia,Super Luck,Prankster","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Umbreon,"Synchronize,Inner Focus","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Espeon,"Synchronize,Magic Bounce","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Quagsire,"Damp,Water Absorb,Unaware","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Wooper,"Damp,Water Absorb,Unaware,Poison Point,Water Absorb,Unaware","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Yanma,"Speed Boost,Compound Eyes,Frisk","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Sunflora,"Chlorophyll,Solar Power,Early Bird","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Sunkern,"Chlorophyll,Solar Power,Early Bird","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Aipom,"Run Away,Pickup,Skill Link","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Jumpluff,"Chlorophyll,Leaf Guard,Infiltrator","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Skiploom,"Chlorophyll,Leaf Guard,Infiltrator","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Hoppip,"Chlorophyll,Leaf Guard,Infiltrator","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Politoed,"Water Absorb,Damp,Drizzle","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following extra moves when using the , feature in Pokémon Scarlet & Violet., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves when it evolves in Pokémon Brilliant Diamond & Shining Pearl (regardless of level)., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Sudowoodo,"Sturdy,Rock Head,Rattled","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Azumarill,"Thick Fat,Huge Power,Sap Sipper","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Marill,"Thick Fat,Huge Power,Sap Sipper","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Bellossom,"Chlorophyll,Healer","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., does not learn any moves by breeding in Pokémon Scarlet & Violet., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves when it evolves in Pokémon Brilliant Diamond & Shining Pearl (regardless of level)., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Ampharos,"Static,Plus,Mold Breaker","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs.,The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves when it evolves in Pokémon Scarlet & Violet (regardless of level)., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves when it evolves in Pokémon Brilliant Diamond & Shining Pearl (regardless of level)., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Flaaffy,"Static,Plus","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Mareep,"Static,Plus","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Scarlet & Violet at the levels specified., learns the following moves via breeding or picnics in Pokémon Scarlet & Violet. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page."
Xatu,"Synchronize,Early Bird,Magic Bounce","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves when it evolves in Pokémon Brilliant Diamond & Shining Pearl (regardless of level)., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves when it evolves in Pokémon Sword & Shield (regardless of level)., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Natu,"Synchronize,Early Bird,Magic Bounce","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Sword & Shield at the levels specified., learns the following moves via breeding in Pokémon Sword & Shield. Details and compatible parents can be found on the , page., can be taught these attacks in Pokémon Sword & Shield from move tutors (,):"
Togetic,"Hustle,Serene Grace,Super Luck","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves when it evolves in Pokémon Brilliant Diamond & Shining Pearl (regardless of level)., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
Togepi,"Hustle,Serene Grace,Super Luck","The ranges shown on the right are for a level 100 Pokémon. Maximum values are based on a beneficial nature, 252 EVs, 31 IVs; minimum values are based on a hindering nature, 0 EVs, 0 IVs., learns the following moves in Pokémon Brilliant Diamond & Shining Pearl at the levels specified., learns the following moves via breeding in Pokémon Brilliant Diamond & Shining Pearl. Details and compatible parents can be found on the , page., learns the following moves in Pokémon Legends: Arceus at the levels specified."
